TERM,CRN,SUBJ,NUM,TITLE,UNIT,CRED,INSTR_MODE,DAYS,TIME,DAYS.1,ADDTL_TIM,P,LMT,ENR,INSTRUCTOR
202680,80435,COMP,218.00,Data Structures & Prog Design,.50,4,,MWF,1310-1400,,-,,25,,"Skon,J,,"
202680,80523,DANC,104.00,Yoga,.25,2,,MWF,1110-1200,,-,,25,,"Radella Feller,K,,"
202680,80524,DANC,105.00,Introduction to Dance Studies,.50,4,,TR,0940-1100,,-,,18,,"Craig-Quijada,B,,"
202680,80526,DANC,109.00,Beginning Ballet Technique,.25,2,,MW,1410-1530,,-,,20,,"Craig-Quijada,B,,"
202680,80527,DANC,208.00,Mod/Postmod Dance Pract:Interm,.25,2,,TR,1440-1600,,-,PI,15,,"Radella Feller,K,,"
202680,80528,DANC,220.00,Dance Labanotation,.50,4,,MWF,0910-1000,,-,,10,,"Brodie,J,,"
202680,80529,DANC,227.00,Choreography I,.50,4,,TR,1310-1430,,-,,8,,"Craig-Quijada,B,,"
202680,80531,DRAM,110.00,The Play:Production&Performanc,.00,,,,-,,-,,0,,"Tazewell,J,,"
202680,80532,DRAM,111.01,Introduction to the Theater,.50,4,,TR,1310-1430,,-,,14,,"Wolf,R,,"
202680,80533,DRAM,111.02,Introduction to the Theater,.50,4,,TR,1440-1600,,-,,12,,"Dudley,A,,"
202680,80534,DRAM,220.00,Acting,.50,4,,TR,0940-1100,,-,PI,12,,"Viccellio,B,,"
202680,80530,DRAM,235.00,Writing Lyrics Music Theatre,.50,4,,W,1310-1600,,-,,8,,Dr. Staff
202680,80535,DRAM,241.00,Scene Design,.50,4,,MWF,1110-1200,,-,,10,,"Wolf,R,,"
202680,80536,DRAM,244.00,Interpreting the Character,.50,4,,WF,1410-1530,,-,PI,10,,"Cappuccilli,C,,"
202680,80537,DRAM,362A.00,Rehearsal Collab Directors,.50,4,,W,1310-1600,,-,PI,3,,"Dudley,A,,"
202680,80538,DRAM,362B.00,Rehearsal Collab Actors,.50,4,,W,1310-1600,,-,PI,6,,"Dudley,A,,"
202680,80465,ECON,101.01,Princ of Microeconomics,.50,4,,TR,0810-0930,,-,,28,,"Treber,J,,"
202680,80466,ECON,101.02,Princ of Microeconomics,.50,4,,TR,0940-1100,,-,,28,,"Treber,J,,"
202680,80467,ECON,101.03,Princ of Microeconomics,.50,4,,MWF,0910-1000,,-,,28,,"Corrigan,J,,"
202680,80468,ECON,101.04,Princ of Microeconomics,.50,4,,MWF,1010-1100,,-,,28,,"Corrigan,J,,"
202680,80469,ECON,101.05,Princ of Microeconomics,.50,4,,MWF,1210-1300,,-,,28,,"Kolliner,D,,"
