term,crn,subject,course_number,title,unit_value,credits,instruction_mode,days,start_time,end_time,additional_days,additional_time,seats_available,instructor
202680,80521,ENGL,491.01,ST: Premodern Sexualities,0.5,4.0,,TR,09:40,11:00,,,15,O'Neill R
202680,80522,ENGL,491.02,ST: Genres of the Contemporary,0.5,4.0,,T,19:00,22:00,,,15,Murthy P
202680,80059,ENGL,497.00,Senior Honors,0.5,4.0,,TR,13:10,14:30,,,15,Suazo M
202680,80525,ENVS,112.01,Intro to Environmental Studies,0.5,4.0,,MWF,09:10,10:00,,,35,Shakya K
202680,80539,ENVS,112.02,Intro to Environmental Studies,0.5,4.0,,MWF,10:10,11:00,,,35,Dr. Staff
202680,80540,ENVS,210.00,Intro Environmental Lab,0.25,2.0,,T,13:10,16:00,,,12,Schmitt L
202680,80541,ENVS,220.00,Applied Environmental Analysis,0.5,4.0,,WF,14:10,15:30,,,16,Shakya K
202680,80542,ENVS,253.00,Sustainable Agriculture,0.5,4.0,,M,13:10,16:00,,,10,Schmitt L
202680,80543,ENVS,261.00,Geographic Information Science,0.5,4.0,,WF,08:40,10:00,,,12,Holdener E
202680,80544,ENVS,341.00,Science of Climate Change,0.5,4.0,,TR,09:40,11:00,,,24,Dr. Staff
202680,80575,ENVS,392.00,ST: Forest Ecology Lab,0.25,2.0,,W,13:10,16:00,,,10,Schmitt L
202680,80545,FILM,111.01,Introduction to Film,0.5,4.0,,TR,14:40,16:00,,,20,Tazewell J
202680,80546,FILM,111.02,Introduction to Film,0.5,4.0,,TR,14:40,16:00,,,20,Sherman J
202680,80548,FILM,231.00,Screenwriting,0.5,4.0,,TR,13:10,14:30,,,12,Sherman J
202680,80547,FILM,261.00,Directing for the Camera,0.5,4.0,,W,13:10,16:00,,,12,Tazewell J
202680,80579,FILM,288.00,Narrative Podcasting,0.5,4.0,,TR,13:10,14:30,,,16,Silverman F
202680,80549,FILM,480.00,Senior Seminar in Film,0.5,4.0,,F,13:10,16:00,,,15,Sherman J
202680,80012,FREN,111Y.01,Intensive Intro French,0.75,6.0,,TR,09:40,11:00,MW,1010-1100,18,Guiney M
202680,80013,FREN,111Y.02,Intensive Intro French,0.75,6.0,,T,08:10,09:30,MWF,0910-1000,18,Malone M
202680,80014,FREN,213Y.01,Intermediate French,0.5,4.0,,MWF,10:10,11:00,,,18,Curtis I
202680,80015,FREN,213Y.02,Intermediate French,0.5,4.0,,MWF,11:10,12:00,,,18,Dairon P
202680,80016,FREN,250.00,The French Detective Novel,0.5,4.0,,WF,14:10,15:30,,,18,Curtis I
202680,80017,FREN,321.01,Adv Composition & Conversation,0.5,4.0,,MWF,12:10,13:00,,,18,Curtis I
202680,80018,FREN,321.02,Adv Composition & Conversation,0.5,4.0,,MWF,13:10,14:00,,,18,Dairon P
202680,80019,FREN,323.00,French Lit Before 1800,0.5,4.0,,MWF,14:10,15:00,,,18,Dairon P
202680,80020,FREN,346.00,Romantics & Realists,0.5,4.0,,TR,13:10,14:30,,,18,Guiney M
202680,80185,GERM,111Y.00,Intensive Intro German,0.75,6.0,,TR,09:40,11:00,MWF,1010-1100,18,Riegert L
202680,80186,GERM,213Y.00,Intermediate German Language,0.5,4.0,,MWF,11:10,12:00,,,15,Gebhardt P
202680,80187,GERM,321.00,Adv Composition & Conversation,0.5,4.0,,MWF,09:10,10:00,,,12,Gebhardt P
202680,80188,GERM,363.00,From Nietzsche to Kafka,0.5,4.0,,WF,14:10,15:30,,,12,Gebhardt P
202680,80593,GREK,101Y.00,Elementary Ancient Greek,0.5,4.0,,MWF,13:10,14:00,,,22,Myers M
202680,80586,GREK,201.00,Intermediate Greek: Prose,0.5,4.0,,MWF,12:10,13:00,,,10,Barich M
202680,80587,GREK,301.00,Advanced Greek,0.5,4.0,,MWF,13:10,14:00,,,10,Hahnemann C
202680,80485,GSS,111.00,Intro to Gender & SexualitySt,0.5,4.0,,TR,13:10,14:30,,,20,López I
202680,80486,GSS,330.00,Feminist Theory,0.5,4.0,,WF,08:40,10:00,,,20,O'Neill R
202680,80060,GSS,497.00,Senior Honors,0.5,4.0,,,,,,,5,O'Neill R
202680,80040,HIST,100.02,History First-Year Seminar,0.5,4.0,,T,19:00,22:00,,,20,Singer W
202680,80038,HIST,120.00,Early Latin America,0.5,4.0,,MWF,14:10,15:00,,,20,Franco R
202680,80022,HIST,126.00,Early Middle Ages 300-1100,0.5,4.0,,WF,08:40,10:00,,,20,Novikoff A
202680,80030,HIST,131.00,Early Modern Europe,0.5,4.0,,TR,13:10,14:30,,,20,Rivest J
202680,80024,HIST,145.00,Early Africa,0.5,4.0,,MWF,09:10,10:00,,,25,Volz S
202680,80027,HIST,161.00,Early East Asia,0.5,4.0,,MWF,11:10,12:00,,,20,Li L
202680,80023,HIST,180.00,Hist of the N Amer Wilderness,0.5,4.0,,MWF,10:10,11:00,,,20,Bottiger P
202680,80049,HIST,210.00,War for Black Freedom,0.5,4.0,,TR,09:40,11:00,,,12,McNair G
202680,80028,HIST,218.00,History of Mexico,0.5,4.0,,MWF,12:10,13:00,,,25,Franco R
202680,80026,HIST,226.00,The British Empire,0.5,4.0,,MWF,10:10,11:00,,,25,Buxton H
202680,80025,HIST,228.00,Empires & Nations in E Europe,0.5,4.0,,TR,09:40,11:00,,,25,Ablovatski E
202680,80029,HIST,258.00,Ottoman Empire,0.5,4.0,,TR,13:10,14:30,,,25,Kilic-Schubel N
202680,80045,HIST,291.01,ST: Pending CPC Approval,0.5,4.0,,WF,14:10,15:30,,,20,Li L
202680,80046,HIST,291.02,ST: Pending CPC Approval,0.5,4.0,,TR,14:40,16:00,,,25,Coulibaly S
202680,80041,HIST,318.00,The North American Wests,0.5,4.0,,W,19:00,22:00,,,12,Bottiger P
202680,80039,HIST,328.00,"Crusades:Relgn,Violnce,Med Eur",0.5,4.0,,M,19:00,22:00,,,12,Novikoff A
202680,80043,HIST,329.00,"Alchemy, Astrology & Magic",0.5,4.0,,W,19:00,22:00,,,12,Rivest J
202680,80031,HIST,342.00,History of Public Health,0.5,4.0,,M,13:10,16:00,,,12,Buxton H
202680,80034,HIST,380.00,Black Hist thru Fiction & Film,0.5,4.0,,M,13:10,16:00,,,12,McNair G
202680,80035,HIST,387.00,Practice and Theory of History,0.5,4.0,,W,13:10,16:00,,,12,Coulibaly S
202680,80036,HIST,444.00,Faith and Power in Africa,0.5,4.0,,R,13:10,16:00,,,12,Volz S
202680,80032,HIST,490.01,Senior Seminar,0.5,4.0,,T,13:10,16:00,,,8,Buxton H
202680,80042,HIST,490.02,Senior Seminar,0.5,4.0,,M,19:00,22:00,,,8,Kilic-Schubel N
202680,80044,HIST,491.00,ST: Pending CPC Approval,0.5,4.0,,R,19:00,22:00,,,12,Gourrier F
202680,80061,HIST,497Y.00,Senior Honors Seminar,0.5,4.0,,,,,,,5,Coulibaly S
202680,80659,INDS,191.00,ST: Comm Healthcare Sem TtoP,0.25,2.0,,M,14:10,15:30,,,20,Ferenbaugh A Teall A
